Module,File Path,Line Number,Icon Type,Suggested Button Text,Context,Implementation Notes
Cpq,b3-erp/frontend/src/app/(modules)/cpq/integration/ecommerce/page.tsx,360,Settings,Settings,integration > ecommerce > page,"Add aria-label=""Settings"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/integration/erp/page.tsx,397,Eye,View,integration > erp > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/pricing/contracts/page.tsx,294,Edit,Edit,pricing > contracts > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/pricing/customer/page.tsx,281,Edit,Edit,pricing > customer > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/pricing/promotions/page.tsx,299,Edit,Edit,pricing > promotions > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/pricing/rules/page.tsx,288,Edit,Edit,pricing > rules > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/pricing/volume/page.tsx,245,Edit,Edit,pricing > volume > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/products/bundles/page.tsx,246,Edit,Edit,products > bundles > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/products/catalog/page.tsx,300,Edit,Edit,products > catalog > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/products/catalog/page.tsx,303,Copy,Copy,products > catalog > page,"Add aria-label=""Copy"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/products/options/page.tsx,256,Edit,Edit,products > options > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/products/rules/page.tsx,290,Edit,Edit,products > rules > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/proposals/content/page.tsx,374,Eye,View,proposals > content > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/proposals/content/page.tsx,377,Download,Download,proposals > content > page,"Add aria-label=""Download"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/proposals/content/page.tsx,380,Edit,Edit,proposals > content > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/proposals/templates/page.tsx,393,Eye,View,proposals > templates > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/proposals/templates/page.tsx,396,Edit,Edit,proposals > templates > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/proposals/templates/page.tsx,399,Copy,Copy,proposals > templates > page,"Add aria-label=""Copy"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/quotes/page.tsx,316,Eye,View,cpq > quotes > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/quotes/page.tsx,319,Edit,Edit,cpq > quotes > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/quotes/page.tsx,322,Copy,Copy,cpq > quotes > page,"Add aria-label=""Copy"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/quotes/page.tsx,325,Send,Send,cpq > quotes > page,"Add aria-label=""Send"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/quotes/templates/page.tsx,283,Eye,View,quotes > templates > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/quotes/templates/page.tsx,286,Edit,Edit,quotes > templates > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/quotes/templates/page.tsx,289,Copy,Copy,quotes > templates > page,"Add aria-label=""Copy"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/quotes/versions/page.tsx,309,Eye,View,quotes > versions > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/quotes/versions/page.tsx,312,Copy,Copy,quotes > versions > page,"Add aria-label=""Copy"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/settings/notifications/page.tsx,261,Eye,View,settings > notifications > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/settings/notifications/page.tsx,264,Edit,Edit,settings > notifications > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/settings/notifications/page.tsx,267,Trash2,Delete,settings > notifications > page,"Add aria-label=""Delete"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/settings/notifications/page.tsx,417,Edit,Edit,settings > notifications > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/settings/notifications/page.tsx,420,Trash2,Delete,settings > notifications > page,"Add aria-label=""Delete"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/settings/numbering/page.tsx,328,Eye,View,settings > numbering > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/settings/numbering/page.tsx,331,Copy,Copy,settings > numbering > page,"Add aria-label=""Copy"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/calls/page.tsx,469,Eye,View,activities > calls > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/calls/page.tsx,472,Edit,Edit,activities > calls > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/calls/page.tsx,475,Trash2,Delete,activities > calls > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/emails/page.tsx,507,Eye,View,activities > emails > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/emails/page.tsx,510,Edit,Edit,activities > emails > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/emails/page.tsx,513,Trash2,Delete,activities > emails > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/meetings/page.tsx,476,Eye,View,activities > meetings > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/meetings/page.tsx,479,Edit,Edit,activities > meetings > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/meetings/page.tsx,482,Trash2,Delete,activities > meetings > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/tasks/page.tsx,488,Eye,View,activities > tasks > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/tasks/page.tsx,491,Edit,Edit,activities > tasks > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/activities/tasks/page.tsx,494,Trash2,Delete,activities > tasks > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/automation/page.tsx,353,Eye,View,campaigns > automation > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/automation/page.tsx,356,Edit,Edit,campaigns > automation > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/automation/page.tsx,359,Copy,Copy,campaigns > automation > page,"Add aria-label=""Copy"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/automation/page.tsx,363,Pause,Pause,campaigns > automation > page,"Add aria-label=""Pause"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/automation/page.tsx,368,Play,Play,campaigns > automation > page,"Add aria-label=""Play"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/automation/page.tsx,372,Trash2,Delete,campaigns > automation > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/email/page.tsx,285,Eye,View,campaigns > email > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/email/page.tsx,288,Edit,Edit,campaigns > email > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/email/page.tsx,291,Copy,Copy,campaigns > email > page,"Add aria-label=""Copy"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/email/page.tsx,295,Play,Play,campaigns > email > page,"Add aria-label=""Play"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/email/page.tsx,299,Trash2,Delete,campaigns > email > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/page.tsx,450,Eye,View,crm > campaigns > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/page.tsx,453,Edit,Edit,crm > campaigns > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/page.tsx,457,Pause,Pause,crm > campaigns > page,"Add aria-label=""Pause"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/page.tsx,461,Trash2,Delete,crm > campaigns > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/templates/page.tsx,330,Eye,View,campaigns > templates > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/templates/page.tsx,333,Edit,Edit,campaigns > templates > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/templates/page.tsx,336,Copy,Copy,campaigns > templates > page,"Add aria-label=""Copy"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/campaigns/templates/page.tsx,339,Trash2,Delete,campaigns > templates > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contacts/lists/page.tsx,529,Eye,View,contacts > lists > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contacts/lists/page.tsx,532,Edit,Edit,contacts > lists > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contacts/lists/page.tsx,535,Copy,Copy,contacts > lists > page,"Add aria-label=""Copy"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contacts/lists/page.tsx,538,Trash2,Delete,contacts > lists > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contacts/roles/page.tsx,573,Edit,Edit,contacts > roles > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contacts/roles/page.tsx,576,Trash2,Delete,contacts > roles > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contacts/view/[id]/page.tsx,250,MoreVertical,More Options,view > [id] > page,"Add aria-label=""More Options"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/amendments/page.tsx,483,Eye,View,contracts > amendments > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/amendments/page.tsx,486,Edit,Edit,contracts > amendments > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/page.tsx,470,Eye,View,crm > contracts > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/page.tsx,473,Edit,Edit,crm > contracts > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/page.tsx,476,Download,Download,crm > contracts > page,"Add aria-label=""Download"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/renewals/page.tsx,560,Mail,Email,contracts > renewals > page,"Add aria-label=""Email"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/renewals/page.tsx,563,Phone,Call,contracts > renewals > page,"Add aria-label=""Call"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/templates/page.tsx,492,Eye,View,contracts > templates > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/templates/page.tsx,495,Edit,Edit,contracts > templates > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/contracts/templates/page.tsx,498,Trash2,Delete,contracts > templates > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/customers/add/page.tsx,2396,Unknown,Unknown,customers > add > page,"Add aria-label=""Unknown"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/customers/hierarchy/page.tsx,312,Eye,View,customers > hierarchy > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/customers/hierarchy/page.tsx,315,Edit,Edit,customers > hierarchy > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/customers/portal/page.tsx,480,Eye,View,customers > portal > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/customers/portal/page.tsx,483,Edit,Edit,customers > portal > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/customers/portal/page.tsx,486,Trash2,Delete,customers > portal > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/customers/segments/page.tsx,361,Edit,Edit,customers > segments > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/customers/segments/page.tsx,364,Trash2,Delete,customers > segments > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/interactions/add/page.tsx,483,Plus,Add,interactions > add > page,"Add aria-label=""Add"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/interactions/edit/[id]/page.tsx,482,Plus,Add,edit > [id] > page,"Add aria-label=""Add"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/leads/add/page.tsx,1252,Plus,Add,leads > add > page,"Add aria-label=""Add"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/leads/assignment/page.tsx,332,Edit,Edit,leads > assignment > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/leads/assignment/page.tsx,455,UserPlus,Add User,leads > assignment > page,"Add aria-label=""Add User"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/leads/edit/[id]/page.tsx,1027,Plus,Add,edit > [id] > page,"Add aria-label=""Add"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/leads/view/[id]/page.tsx,237,MoreVertical,More Options,view > [id] > page,"Add aria-label=""More Options"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/opportunities/add/page.tsx,746,Plus,Add,opportunities > add > page,"Add aria-label=""Add"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/opportunities/edit/[id]/page.tsx,753,Plus,Add,edit > [id] > page,"Add aria-label=""Add"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/proposals/page.tsx,376,Eye,View,crm > proposals > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/proposals/page.tsx,379,Edit,Edit,crm > proposals > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/proposals/page.tsx,382,Download,Download,crm > proposals > page,"Add aria-label=""Download"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/proposals/page.tsx,385,Copy,Copy,crm > proposals > page,"Add aria-label=""Copy"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/proposals/page.tsx,394,Trash2,Delete,crm > proposals > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/page.tsx,469,Eye,View,crm > quotes > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/page.tsx,472,Download,Download,crm > quotes > page,"Add aria-label=""Download"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/page.tsx,475,Edit,Edit,crm > quotes > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/page.tsx,478,Copy,Copy,crm > quotes > page,"Add aria-label=""Copy"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/page.tsx,482,Send,Send,crm > quotes > page,"Add aria-label=""Send"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/page.tsx,486,Trash2,Delete,crm > quotes > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/pricing/page.tsx,317,ToggleRight,Disable,quotes > pricing > page,"Add aria-label=""Disable"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/pricing/page.tsx,321,ToggleLeft,Enable,quotes > pricing > page,"Add aria-label=""Enable"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/pricing/page.tsx,325,Edit,Edit,quotes > pricing > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/pricing/page.tsx,328,Trash2,Delete,quotes > pricing > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/templates/page.tsx,400,Eye,View,quotes > templates > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/templates/page.tsx,403,Edit,Edit,quotes > templates > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/quotes/templates/page.tsx,406,Trash2,Delete,quotes > templates > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/settings/stages/page.tsx,301,Edit,Edit,settings > stages > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/settings/stages/page.tsx,304,Trash2,Delete,settings > stages > page,"Add aria-label=""Delete"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/support/knowledge/page.tsx,550,Eye,View,support > knowledge > page,"Add aria-label=""View"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/support/knowledge/page.tsx,553,Edit,Edit,support > knowledge > page,"Add aria-label=""Edit"" or visible text"
Crm,b3-erp/frontend/src/app/(modules)/crm/support/sla/page.tsx,379,Edit,Edit,support > sla > page,"Add aria-label=""Edit"" or visible text"
Dashboard,b3-erp/frontend/src/app/(dashboard)/page.tsx,193,Bell,Notifications,(dashboard) > page,"Add aria-label=""Notifications"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/boq/view/[id]/page.tsx,302,MoreVertical,More Options,view > [id] > page,"Add aria-label=""More Options"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/costing/view/[id]/page.tsx,258,MoreVertical,More Options,view > [id] > page,"Add aria-label=""More Options"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/pricing/view/[id]/page.tsx,353,MoreVertical,More Options,view > [id] > page,"Add aria-label=""More Options"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/settings/categories/page.tsx,553,Save,Save,settings > categories > page,"Add aria-label=""Save"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/settings/categories/page.tsx,559,Unknown,Unknown,settings > categories > page,"Add aria-label=""Unknown"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/settings/templates/page.tsx,354,Edit2,Edit,settings > templates > page,"Add aria-label=""Edit"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/settings/templates/page.tsx,357,Copy,Copy,settings > templates > page,"Add aria-label=""Copy"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/settings/templates/page.tsx,360,Trash2,Delete,settings > templates > page,"Add aria-label=""Delete"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/workflow/drafts/page.tsx,334,Copy,Copy,workflow > drafts > page,"Add aria-label=""Copy"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/workflow/drafts/page.tsx,337,Trash2,Delete,workflow > drafts > page,"Add aria-label=""Delete"" or visible text"
Estimation,b3-erp/frontend/src/app/(modules)/estimation/workflow/drafts/page.tsx,341,Send,Send,workflow > drafts > page,"Add aria-label=""Send"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/budgeting/multi-year-planning/page.tsx,265,Edit,Edit,budgeting > multi-year-planning > page,"Add aria-label=""Edit"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/budgeting/multi-year-planning/page.tsx,268,Copy,Copy,budgeting > multi-year-planning > page,"Add aria-label=""Copy"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/consolidation/intercompany/page.tsx,289,Eye,View,consolidation > intercompany > page,"Add aria-label=""View"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/consolidation/intercompany/page.tsx,292,Edit,Edit,consolidation > intercompany > page,"Add aria-label=""Edit"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/controls/documents/page.tsx,76,Eye,View,controls > documents > page,"Add aria-label=""View"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/controls/documents/page.tsx,77,Download,Download,controls > documents > page,"Add aria-label=""Download"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/controls/documents/page.tsx,78,Trash2,Delete,controls > documents > page,"Add aria-label=""Delete"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/costing/standard-costing/page.tsx,321,Eye,View,costing > standard-costing > page,"Add aria-label=""View"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/costing/standard-costing/page.tsx,324,Edit,Edit,costing > standard-costing > page,"Add aria-label=""Edit"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/currency/management/page.tsx,319,Eye,View,currency > management > page,"Add aria-label=""View"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/currency/management/page.tsx,322,Edit,Edit,currency > management > page,"Add aria-label=""Edit"" or visible text"
Finance,b3-erp/frontend/src/app/(modules)/finance/currency/management/page.tsx,325,TrendingUp,View Trends,currency > management > page,"Add aria-label=""View Trends"" or visible text"
Hr,b3-erp/frontend/src/app/(modules)/hr/attendance/add/page.tsx,189,ArrowLeft,Go Back,attendance > add > page,"Add aria-label=""Go Back"" or visible text"
Hr,b3-erp/frontend/src/app/(modules)/hr/attendance/view/[id]/page.tsx,197,ArrowLeft,Go Back,view > [id] > page,"Add aria-label=""Go Back"" or visible text"
Hr,b3-erp/frontend/src/app/(modules)/hr/employees/add/page.tsx,205,ArrowLeft,Go Back,employees > add > page,"Add aria-label=""Go Back"" or visible text"
Hr,b3-erp/frontend/src/app/(modules)/hr/employees/edit/[id]/page.tsx,197,ArrowLeft,Go Back,edit > [id] > page,"Add aria-label=""Go Back"" or visible text"
Hr,b3-erp/frontend/src/app/(modules)/hr/employees/view/[id]/page.tsx,308,ArrowLeft,Go Back,view > [id] > page,"Add aria-label=""Go Back"" or visible text"
Hr,b3-erp/frontend/src/app/(modules)/hr/leave/edit/[id]/page.tsx,500,Download,Download,edit > [id] > page,"Add aria-label=""Download"" or visible text"
